transaction_id,quarter,region,product_line,units_sold,unit_price,gross_revenue,cogs,operating_expense,net_margin
CA-2015-135545,2015-Q4,West,Technology,2,6.99,13.98,5.48,2.35,6.15
CA-2015-135545,2015-Q4,West,Office Supplies,6,4.3,25.82,11.52,4.94,9.36
CA-2015-135545,2015-Q4,West,Office Supplies,3,48.91,146.73,54.44,23.33,68.96
CA-2015-135545,2015-Q4,West,Furniture,4,19.94,79.76,40.2,17.23,22.33
US-2015-164175,2015-Q2,Central,Furniture,5,42.62,213.12,159.84,68.5,-15.22
CA-2014-106376,2014-Q4,West,Office Supplies,8,139.13,1113.02,701.2,300.52,111.3
CA-2014-106376,2014-Q4,West,Technology,4,41.99,167.97,73.49,31.49,62.99
CA-2016-119823,2016-Q2,South,Office Supplies,2,37.94,75.88,28.15,12.07,35.66
CA-2016-106075,2016-Q3,East,Office Supplies,1,4.62,4.62,2.02,0.87,1.73
CA-2017-114440,2017-Q3,Central,Office Supplies,3,6.35,19.05,7.2,3.09,8.76
US-2015-134026,2015-Q2,South,Furniture,8,103.99,831.94,662.43,283.9,-114.39
US-2015-134026,2015-Q2,South,Furniture,2,48.52,97.04,67.08,28.75,1.21
US-2015-134026,2015-Q2,South,Office Supplies,1,72.78,72.78,63.69,27.29,-18.2
US-2017-118038,2017-Q4,Central,Office Supplies,3,0.42,1.25,2.23,0.95,-1.93
US-2017-118038,2017-Q4,Central,Furniture,3,3.24,9.71,10.87,4.66,-5.82
US-2017-118038,2017-Q4,Central,Office Supplies,3,9.08,27.24,17.16,7.36,2.72
US-2014-147606,2014-Q4,Central,Furniture,5,3.86,19.3,23.65,10.13,-14.48
CA-2016-127208,2016-Q2,South,Office Supplies,1,208.16,208.16,106.37,45.59,56.2
CA-2016-127208,2016-Q2,South,Office Supplies,3,5.58,16.74,6.09,2.61,8.04
CA-2014-139451,2014-Q4,West,Office Supplies,5,2.98,14.9,7.51,3.22,4.17
CA-2014-139451,2014-Q4,West,Office Supplies,1,21.39,21.39,10.63,4.56,6.2
CA-2015-149734,2015-Q3,South,Office Supplies,7,28.71,200.98,96.72,41.45,62.81
US-2017-119662,2017-Q4,Central,Office Supplies,3,76.79,230.38,195.53,83.8,-48.95
CA-2017-140088,2017-Q2,South,Furniture,2,150.98,301.96,188.12,80.62,33.22
CA-2017-155558,2017-Q4,Central,Technology,1,19.99,19.99,9.23,3.96,6.8
CA-2017-155558,2017-Q4,Central,Office Supplies,2,3.08,6.16,2.24,0.96,2.96
CA-2016-159695,2016-Q2,Central,Office Supplies,7,22.62,158.37,101.16,43.35,13.86
CA-2016-109806,2016-Q3,West,Office Supplies,3,6.7,20.1,9.43,4.04,6.63
CA-2016-109806,2016-Q3,West,Technology,2,36.79,73.58,45.71,19.59,8.28
CA-2016-109806,2016-Q3,West,Office Supplies,1,6.48,6.48,2.36,1.01,3.11
CA-2015-149587,2015-Q1,Central,Office Supplies,2,6.48,12.96,4.72,2.02,6.22
CA-2015-149587,2015-Q1,Central,Furniture,3,17.78,53.34,25.76,11.04,16.54
CA-2015-149587,2015-Q1,Central,Office Supplies,2,16.48,32.96,11.77,5.04,16.15
US-2017-109484,2017-Q4,West,Office Supplies,1,5.68,5.68,6.63,2.84,-3.79
CA-2017-161018,2017-Q4,East,Furniture,7,13.79,96.53,39.19,16.8,40.54
CA-2017-157833,2017-Q2,West,Office Supplies,3,17.1,51.31,23.34,10.01,17.96
CA-2016-149223,2016-Q3,Central,Office Supplies,6,12.98,77.88,38.7,16.59,22.59
CA-2016-158568,2016-Q3,Central,Office Supplies,7,9.23,64.62,29.4,12.6,22.62
CA-2016-158568,2016-Q3,Central,Technology,3,31.99,95.98,74.75,32.03,-10.8
CA-2016-158568,2016-Q3,Central,Office Supplies,3,0.6,1.79,3.38,1.45,-3.04
CA-2016-129903,2016-Q4,Central,Office Supplies,4,5.98,23.92,8.54,3.66,11.72
US-2015-156867,2015-Q4,West,Technology,6,39.82,238.9,186.05,79.73,-26.88
US-2015-156867,2015-Q4,West,Furniture,3,34.12,102.36,74.34,31.86,-3.84
US-2015-156867,2015-Q4,West,Office Supplies,3,12.29,36.88,43.89,18.81,-25.82
CA-2017-119004,2017-Q4,South,Technology,8,9.26,74.11,39.56,16.95,17.6
CA-2017-119004,2017-Q4,South,Technology,1,27.99,27.99,18.12,7.77,2.1
CA-2017-119004,2017-Q4,South,Office Supplies,1,3.3,3.3,1.56,0.67,1.07
CA-2015-129476,2015-Q4,Central,Technology,5,67.99,339.96,190.38,81.59,67.99
CA-2017-146780,2017-Q4,East,Furniture,2,20.98,41.96,21.73,9.32,10.91
CA-2016-128867,2016-Q4,Central,Office Supplies,2,37.98,75.96,37.22,15.95,22.79
CA-2016-128867,2016-Q4,Central,Office Supplies,6,4.54,27.24,9.72,4.17,13.35
CA-2014-115259,2014-Q3,East,Office Supplies,14,2.86,40.1,17.9,7.67,14.53
CA-2014-115259,2014-Q3,East,Office Supplies,2,2.36,4.72,2.15,0.92,1.65
CA-2014-115259,2014-Q3,East,Office Supplies,3,7.99,23.98,11.54,4.95,7.49
CA-2014-115259,2014-Q3,East,Office Supplies,6,21.74,130.46,60.5,25.93,44.03
CA-2015-110457,2015-Q1,West,Furniture,3,262.51,787.53,435.5,186.65,165.38
US-2015-136476,2015-Q2,South,Office Supplies,1,157.79,157.79,191.46,82.05,-115.72
CA-2016-103730,2016-Q2,East,Furniture,3,15.68,47.04,20.08,8.61,18.35
CA-2016-103730,2016-Q2,East,Office Supplies,4,7.71,30.84,11.87,5.09,13.88
CA-2016-103730,2016-Q2,East,Office Supplies,6,37.76,226.56,114.18,48.94,63.44
CA-2016-103730,2016-Q2,East,Office Supplies,9,12.78,115.02,44.28,18.98,51.76
CA-2016-103730,2016-Q2,East,Technology,7,9.72,68.04,33.82,14.49,19.73
US-2014-152030,2014-Q4,Central,Furniture,3,200.19,600.56,426.4,182.74,-8.58
US-2014-134614,2014-Q3,Central,Furniture,6,102.95,617.7,717.77,307.61,-407.68
US-2017-107272,2017-Q4,West,Office Supplies,2,1.2,2.39,2.95,1.27,-1.83
US-2017-107272,2017-Q4,West,Office Supplies,7,34.86,243.99,149.44,64.05,30.5
US-2016-125969,2016-Q4,West,Furniture,2,40.71,81.42,63.41,27.17,-9.16
US-2016-125969,2016-Q4,West,Furniture,3,79.52,238.56,148.62,63.7,26.24
US-2017-164147,2017-Q1,East,Technology,5,11.99,59.97,50.37,21.59,-11.99
US-2017-164147,2017-Q1,East,Office Supplies,2,39.15,78.3,34.26,14.68,29.36
US-2017-164147,2017-Q1,East,Office Supplies,9,2.38,21.46,10.14,4.35,6.97
CA-2016-145583,2016-Q4,West,Office Supplies,3,6.68,20.04,7.29,3.13,9.62
CA-2016-145583,2016-Q4,West,Office Supplies,1,35.44,35.44,13.15,5.63,16.66
CA-2016-145583,2016-Q4,West,Office Supplies,4,2.88,11.52,5.64,2.42,3.46
CA-2016-145583,2016-Q4,West,Office Supplies,2,2.01,4.02,1.43,0.62,1.97
CA-2016-145583,2016-Q4,West,Office Supplies,3,25.39,76.18,34.66,14.86,26.66
CA-2016-145583,2016-Q4,West,Office Supplies,6,10.98,65.88,33.2,14.23,18.45
CA-2016-145583,2016-Q4,West,Furniture,14,3.08,43.12,15.69,6.73,20.7
CA-2016-110366,2016-Q3,East,Furniture,2,41.4,82.8,50.71,21.74,10.35
CA-2017-106180,2017-Q3,West,Office Supplies,3,2.94,8.82,4.51,1.93,2.38
CA-2017-106180,2017-Q3,West,Office Supplies,3,3.62,10.86,4.03,1.73,5.1
CA-2017-106180,2017-Q3,West,Office Supplies,3,47.9,143.7,52.3,22.42,68.98
CA-2017-155376,2017-Q4,Central,Office Supplies,3,279.81,839.43,434.83,186.35,218.25
CA-2015-110744,2015-Q3,West,Office Supplies,7,95.99,671.93,456.24,195.53,20.16
CA-2014-110072,2014-Q4,East,Furniture,4,23.47,93.89,56.69,24.29,12.91
CA-2016-114489,2016-Q4,Central,Technology,11,34.95,384.45,196.45,84.2,103.8
CA-2016-114489,2016-Q4,Central,Technology,3,49.99,149.97,100.78,43.19,6.0
CA-2016-114489,2016-Q4,Central,Furniture,8,243.98,1951.84,956.4,409.89,585.55
CA-2016-114489,2016-Q4,Central,Office Supplies,5,34.31,171.55,63.64,27.28,80.63
CA-2016-158834,2016-Q1,West,Office Supplies,5,31.58,157.92,98.1,42.05,17.77
CA-2016-158834,2016-Q1,West,Technology,2,101.59,203.18,131.56,56.38,15.24
CA-2015-124919,2015-Q2,West,Office Supplies,7,8.34,58.38,22.48,9.63,26.27
CA-2015-124919,2015-Q2,West,Office Supplies,4,26.38,105.52,39.89,17.09,48.54
CA-2015-124919,2015-Q2,West,Office Supplies,6,13.48,80.88,41.89,17.96,21.03
CA-2015-118948,2015-Q2,West,Office Supplies,3,2.21,6.63,3.39,1.45,1.79
CA-2014-104269,2014-Q1,West,Furniture,2,228.78,457.57,284.26,121.83,51.48
CA-2016-114104,2016-Q4,Central,Office Supplies,2,7.31,14.62,5.42,2.33,6.87
CA-2016-114104,2016-Q4,Central,Technology,7,134.99,944.93,496.09,212.61,236.23
CA-2016-162733,2016-Q2,West,Office Supplies,1,5.98,5.98,2.3,0.99,2.69
CA-2015-119697,2015-Q4,East,Technology,2,27.19,54.38,37.11,15.91,1.36
CA-2016-154508,2016-Q4,West,Office Supplies,5,5.68,28.4,10.53,4.52,13.35
CA-2016-113817,2016-Q4,West,Office Supplies,2,13.84,27.68,12.59,5.4,9.69
CA-2014-139892,2014-Q3,Central,Office Supplies,3,3.31,9.94,5.05,2.16,2.73
CA-2014-139892,2014-Q3,Central,Technology,8,1019.99,8159.95,6663.96,2855.98,-1359.99
CA-2014-139892,2014-Q3,Central,Office Supplies,3,91.98,275.93,234.19,100.37,-58.63
CA-2014-139892,2014-Q3,Central,Furniture,9,193.34,1740.06,1235.44,529.48,-24.86
CA-2014-139892,2014-Q3,Central,Office Supplies,6,5.34,32.06,17.68,7.57,6.81
CA-2014-139892,2014-Q3,Central,Office Supplies,5,35.6,177.98,442.28,189.55,-453.85
CA-2014-139892,2014-Q3,Central,Technology,3,47.99,143.98,94.49,40.49,9.0
CA-2014-118962,2014-Q3,West,Office Supplies,3,6.98,20.94,7.77,3.33,9.84
CA-2014-118962,2014-Q3,West,Office Supplies,2,55.48,110.96,40.39,17.31,53.26
CA-2014-118962,2014-Q3,West,Furniture,7,48.59,340.14,223.22,95.66,21.26
US-2014-100853,2014-Q3,Central,Office Supplies,2,26.22,52.45,128.5,55.07,-131.12
US-2014-100853,2014-Q3,Central,Office Supplies,4,5.04,20.16,9.53,4.08,6.55
US-2017-152366,2017-Q2,Central,Office Supplies,4,24.32,97.26,238.29,102.13,-243.16
US-2015-101511,2015-Q4,East,Furniture,7,56.69,396.8,285.7,122.44,-11.34
US-2015-101511,2015-Q4,East,Office Supplies,5,3.18,15.88,13.76,5.89,-3.77
CA-2015-137225,2015-Q4,East,Office Supplies,1,3.28,3.28,1.31,0.56,1.41
CA-2014-166191,2014-Q4,Central,Office Supplies,2,12.41,24.82,16.07,6.89,1.86
CA-2014-166191,2014-Q4,Central,Technology,7,58.39,408.74,232.47,99.63,76.64
CA-2014-158274,2014-Q4,South,Technology,4,125.99,503.96,261.05,111.88,131.03
CA-2014-158274,2014-Q4,South,Technology,5,29.99,149.95,75.57,32.39,41.99
CA-2014-158274,2014-Q4,South,Technology,2,14.5,29.0,15.22,6.53,7.25
CA-2016-105018,2016-Q4,East,Office Supplies,2,3.58,7.16,2.6,1.12,3.44
CA-2014-123260,2014-Q3,West,Technology,8,22.1,176.8,107.67,46.15,22.98
CA-2016-157000,2016-Q3,Central,Office Supplies,3,12.41,37.22,23.45,10.05,3.72
CA-2016-157000,2016-Q3,Central,Office Supplies,3,6.67,20.02,9.63,4.13,6.26
CA-2015-102281,2015-Q4,East,Furniture,4,224.78,899.14,550.72,236.03,112.39
CA-2015-102281,2015-Q4,East,Technology,6,11.96,71.76,36.17,15.5,20.09
CA-2015-102281,2015-Q4,East,Office Supplies,8,6.48,51.84,18.87,8.09,24.88
CA-2015-102281,2015-Q4,East,Furniture,3,208.78,626.35,405.56,173.81,46.98
CA-2015-102281,2015-Q4,East,Office Supplies,5,3.98,19.9,9.33,4.0,6.57
CA-2015-131457,2015-Q4,West,Office Supplies,7,2.04,14.28,5.3,2.27,6.71
CA-2014-140004,2014-Q1,East,Office Supplies,2,3.7,7.41,4.35,1.86,1.2
CA-2014-140004,2014-Q1,East,Office Supplies,3,2.02,6.05,3.12,1.34,1.59
CA-2017-107720,2017-Q4,East,Office Supplies,3,15.42,46.26,23.96,10.27,12.03
US-2017-124303,2017-Q3,East,Office Supplies,2,1.48,2.95,3.65,1.56,-2.26
US-2017-124303,2017-Q3,East,Office Supplies,3,5.35,16.06,7.17,3.07,5.82
CA-2017-105074,2017-Q2,East,Office Supplies,3,7.25,21.74,10.46,4.48,6.8
CA-2014-133690,2014-Q3,West,Furniture,2,109.38,218.75,266.44,114.19,-161.88
CA-2014-133690,2014-Q3,West,Office Supplies,1,2.6,2.6,1.62,0.69,0.29
US-2017-116701,2017-Q4,Central,Office Supplies,2,33.14,66.28,171.67,73.58,-178.97
CA-2017-126382,2017-Q2,South,Furniture,7,5.02,35.17,17.85,7.65,9.67
CA-2017-108329,2017-Q4,West,Technology,4,111.19,444.77,280.2,120.09,44.48
CA-2017-135860,2017-Q4,Central,Office Supplies,4,20.98,83.92,54.63,23.42,5.87
CA-2017-135860,2017-Q4,Central,Technology,2,65.99,131.98,67.44,28.91,35.63
CA-2017-135860,2017-Q4,Central,Office Supplies,4,3.98,15.92,5.91,2.53,7.48
CA-2017-135860,2017-Q4,Central,Office Supplies,9,5.81,52.29,25.26,10.82,16.21
CA-2017-135860,2017-Q4,Central,Office Supplies,1,91.99,91.99,61.82,26.49,3.68
CA-2015-101007,2015-Q1,Central,Technology,2,10.4,20.8,10.01,4.29,6.5
CA-2015-146262,2015-Q1,East,Office Supplies,2,11.84,23.68,10.36,4.44,8.88
CA-2015-146262,2015-Q1,East,Furniture,5,90.49,452.45,487.74,209.03,-244.32
CA-2015-146262,2015-Q1,East,Technology,3,20.99,62.98,54.38,23.3,-14.7
CA-2015-146262,2015-Q1,East,Technology,9,132.0,1188.0,1496.88,641.52,-950.4
CA-2015-146262,2015-Q1,East,Technology,2,44.79,89.58,59.57,25.53,4.48
CA-2016-130162,2016-Q4,West,Office Supplies,6,15.51,93.06,46.9,20.1,26.06
CA-2016-130162,2016-Q4,West,Technology,3,100.79,302.38,195.79,83.91,22.68
CA-2015-169397,2015-Q4,East,Office Supplies,2,2.79,5.58,2.64,1.13,1.81
CA-2015-169397,2015-Q4,East,Office Supplies,6,3.78,22.7,10.13,4.34,8.23
CA-2015-169397,2015-Q4,East,Office Supplies,4,4.94,19.78,23.53,10.09,-13.84
CA-2015-169397,2015-Q4,East,Furniture,4,18.18,72.7,37.53,16.09,19.08
CA-2015-169397,2015-Q4,East,Technology,4,120.0,479.99,604.79,259.19,-383.99
CA-2015-169397,2015-Q4,East,Office Supplies,2,13.58,27.17,17.12,7.33,2.72
CA-2015-163055,2015-Q3,Central,Office Supplies,1,2.2,2.2,0.86,0.37,0.97
CA-2015-163055,2015-Q3,Central,Furniture,5,124.49,622.45,339.86,145.65,136.94
CA-2015-163055,2015-Q3,Central,Office Supplies,1,21.98,21.98,15.23,6.53,0.22
US-2015-145436,2015-Q1,South,Furniture,2,80.78,161.57,132.89,56.95,-28.27
US-2015-145436,2015-Q1,South,Furniture,8,48.71,389.7,242.1,103.76,43.84
US-2014-156216,2014-Q3,South,Office Supplies,7,2.66,18.65,21.76,9.32,-12.43
US-2017-100930,2017-Q2,South,Furniture,2,116.93,233.86,235.14,100.77,-102.05
US-2017-100930,2017-Q2,South,Furniture,3,206.87,620.61,608.2,260.66,-248.25
US-2017-100930,2017-Q2,South,Office Supplies,2,2.66,5.33,6.22,2.66,-3.55
US-2017-100930,2017-Q2,South,Furniture,3,86.02,258.07,180.65,77.42,0.0
US-2017-100930,2017-Q2,South,Technology,3,205.99,617.98,437.99,187.71,-7.72
CA-2017-160514,2017-Q4,West,Office Supplies,2,5.28,10.56,4.07,1.74,4.75
CA-2016-157749,2016-Q2,Central,Office Supplies,5,5.18,25.92,11.56,4.96,9.4
CA-2016-157749,2016-Q2,Central,Furniture,5,83.94,419.68,543.49,232.92,-356.73
CA-2016-157749,2016-Q2,Central,Furniture,3,3.9,11.69,11.46,4.91,-4.68
CA-2016-157749,2016-Q2,Central,Technology,2,15.99,31.98,14.55,6.24,11.19
CA-2016-157749,2016-Q2,Central,Furniture,5,35.44,177.22,208.41,89.32,-120.51
CA-2016-157749,2016-Q2,Central,Furniture,3,1.35,4.04,4.81,2.06,-2.83
CA-2016-157749,2016-Q2,Central,Office Supplies,2,3.7,7.41,4.35,1.86,1.2
CA-2014-131926,2014-Q2,Central,Furniture,7,285.98,2001.86,994.92,426.4,580.54
CA-2014-131926,2014-Q2,Central,Office Supplies,2,83.36,166.72,87.53,37.51,41.68
CA-2014-131926,2014-Q2,Central,Office Supplies,6,7.98,47.88,16.76,7.18,23.94
CA-2014-131926,2014-Q2,Central,Office Supplies,5,300.65,1503.25,705.03,302.15,496.07
CA-2014-131926,2014-Q2,Central,Office Supplies,4,6.48,25.92,9.44,4.04,12.44
CA-2016-154739,2016-Q4,West,Furniture,2,160.78,321.57,205.4,88.03,28.14
CA-2016-145625,2016-Q3,West,Office Supplies,1,7.61,7.61,2.82,1.21,3.58
CA-2016-145625,2016-Q3,West,Technology,13,257.49,3347.37,1897.96,813.41,636.0
CA-2016-146941,2016-Q4,East,Office Supplies,6,13.43,80.58,40.61,17.41,22.56
CA-2016-146941,2016-Q4,East,Office Supplies,4,90.48,361.92,139.34,59.72,162.86
US-2015-159982,2015-Q4,Central,Furniture,9,1.35,12.13,14.43,6.19,-8.49
US-2015-159982,2015-Q4,Central,Office Supplies,2,41.18,82.37,71.35,30.58,-19.56
US-2015-159982,2015-Q4,Central,Office Supplies,5,10.78,53.92,34.92,14.96,4.04
US-2015-159982,2015-Q4,Central,Technology,6,107.98,647.9,413.85,177.36,56.69
CA-2017-163139,2017-Q4,East,Technology,3,6.79,20.37,9.41,4.03,6.93
CA-2017-163139,2017-Q4,East,Office Supplies,3,73.85,221.55,150.43,64.47,6.65
CA-2017-163139,2017-Q4,East,Office Supplies,5,3.5,17.52,7.97,3.42,6.13
US-2017-155299,2017-Q2,Central,Office Supplies,2,0.81,1.62,4.26,1.83,-4.47
US-2014-106992,2014-Q3,Central,Technology,3,1019.99,3059.98,2498.99,1070.99,-510.0
US-2014-106992,2014-Q3,Central,Technology,7,359.99,2519.96,1940.37,831.59,-252.0
CA-2016-125318,2016-Q2,Central,Technology,4,82.06,328.22,209.65,89.85,28.72
CA-2015-155040,2015-Q4,West,Technology,2,39.95,79.9,31.32,13.42,35.16
CA-2017-136826,2017-Q2,South,Office Supplies,3,4.67,14.02,6.5,2.79,4.73
CA-2016-111010,2016-Q1,East,Office Supplies,6,1.26,7.56,5.08,2.18,0.3
US-2017-145366,2017-Q4,East,Office Supplies,1,37.21,37.21,31.25,13.4,-7.44
US-2017-145366,2017-Q4,East,Office Supplies,3,19.19,57.58,25.19,10.8,21.59
CA-2017-163979,2017-Q4,West,Office Supplies,4,181.46,725.84,360.75,154.6,210.49
CA-2015-155334,2015-Q3,West,Technology,7,29.99,209.93,82.29,35.27,92.37
CA-2015-155334,2015-Q3,West,Furniture,3,1.76,5.28,2.07,0.89,2.32
CA-2015-155334,2015-Q3,West,Office Supplies,3,3.64,10.92,4.77,2.05,4.1
CA-2017-118136,2017-Q3,West,Office Supplies,2,4.41,8.82,3.33,1.43,4.06
CA-2017-118136,2017-Q3,West,Office Supplies,1,5.98,5.98,3.1,1.33,1.55
CA-2017-132976,2017-Q4,East,Office Supplies,2,5.82,11.65,5.3,2.27,4.08
CA-2017-132976,2017-Q4,East,Office Supplies,4,4.54,18.18,8.59,3.68,5.91
CA-2017-132976,2017-Q4,East,Office Supplies,6,9.95,59.71,37.62,16.12,5.97
CA-2017-132976,2017-Q4,East,Office Supplies,3,8.28,24.84,11.3,4.85,8.69
US-2015-161991,2015-Q3,Central,Office Supplies,5,0.42,2.08,3.86,1.65,-3.43
US-2015-161991,2015-Q3,Central,Technology,7,159.2,1114.4,516.8,221.49,376.11
CA-2015-130890,2015-Q4,West,Furniture,5,207.77,1038.84,690.83,296.07,51.94
CA-2015-130883,2015-Q3,West,Office Supplies,5,28.35,141.76,65.74,28.18,47.84
CA-2015-130883,2015-Q3,West,Technology,5,47.96,239.8,134.29,57.55,47.96
CA-2015-130883,2015-Q3,West,Office Supplies,6,5.18,31.1,14.15,6.06,10.89
CA-2016-112697,2016-Q4,South,Office Supplies,7,36.29,254.06,296.4,127.03,-169.37
CA-2016-112697,2016-Q4,South,Office Supplies,2,97.26,194.53,119.15,51.06,24.32
CA-2016-112697,2016-Q4,South,Office Supplies,5,192.3,961.48,816.05,349.74,-204.31
CA-2016-110772,2016-Q4,East,Office Supplies,7,2.73,19.1,8.69,3.73,6.68
CA-2016-110772,2016-Q4,East,Office Supplies,8,2.31,18.5,8.58,3.68,6.24
CA-2016-110772,2016-Q4,East,Technology,2,127.99,255.98,141.11,60.47,54.4
CA-2016-110772,2016-Q4,East,Furniture,3,28.99,86.97,94.97,40.7,-48.7
CA-2014-111451,2014-Q4,West,Furniture,8,37.55,300.42,155.09,66.47,78.86
CA-2014-111451,2014-Q4,West,Furniture,3,76.78,230.35,147.13,63.06,20.16
CA-2014-111451,2014-Q4,West,Furniture,3,72.78,218.35,170.04,72.87,-24.56
CA-2014-111451,2014-Q4,West,Office Supplies,5,15.72,78.6,99.04,42.44,-62.88
CA-2014-111451,2014-Q4,West,Office Supplies,3,9.18,27.55,12.77,5.48,9.3
CA-2016-142545,2016-Q4,East,Office Supplies,5,6.48,32.4,11.79,5.06,15.55
